taxon,growthForm,guild,trophicMode,confidenceRanking,n_assemblies
Neoscytalidium dimidiatum,NULL,Animal Pathogen,Pathotroph,Probable,1
Neurospora,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,33
Neurospora crassa,NULL,Endophyte-Plant Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Possible,1
Nidula,Gasteroid,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,2
Nidularia,Gasteroid,Dung Saprotroph-|Plant Saprotroph|,Saprotroph,Probable,2
Niebla,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Nigrograna,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Nigrospora,Microfungus,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Nigrospora oryzae,NULL,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Probable,1
Nigrospora sphaerica,NULL,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Probable,1
Niorma,Thallus,|Lichenized|,Symbiotroph,Probable,1
Nosema,Microfungus,|Insect Pathogen|,Pathotroph,Probable,3
Nothomitra,Clavarioid,|Undefined Saprotroph|,Saprotroph,Probable,1
Nothopassalora,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Nothophaeocryptopus,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Nothophoma,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,1
Nowakowskiella,Chytrid-Microfungus,Algal Saprotroph-Plant Pathogen-|Plant Saprotroph|,Pathotroph-Saprotroph,Probable,2
Obba,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Obelidium,Chytrid-Microfungus,Plant Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Occultifur externus,Yeast,Litter Saprotroph,Saprotroph,Highly Probable,1
Oehlia,Microfungus,|Arbuscular Mycorrhizal|-Endophyte,Symbiotroph,Probable,1
Ogataea,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,58
Oidiodendron,Microfungus,Endophyte-Ericoid Mycorrhizal-|Undefined Saprotroph|,Pathotroph-Saprotroph-Symbiotroph,Probable,1
Oidium,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Oleoguttula,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,3
Olpidium,Microfungus-Plasmodium,|Algal Parasite|-Plant Pathogen,Pathotroph,Probable,1
Omphalotus,Agaricoid,|Wood Saprotroph|,Saprotroph,Probable,2
Onygena,Microfungus,Dung Saprotroph-|Undefined Saprotroph|,Saprotroph,Probable,1
Ophidiomyces ophidiicola,Microfungus,Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Highly Probable,1
Ophiobolus,Microfungus,|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Saprotroph,Probable,1
Ophioceras,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Ophiocordyceps,Microfungus,Endophyte-|Insect Pathogen|-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,10
Ophiocordycipitaceae,Microfungus,Endophyte-Insect Pathogen,Pathotroph-Symbiotroph,Probable,1
Ophiognomonia,Microfungus,|Plant Pathogen|,Pathotroph,Highly Probable,1
Ophiosphaerella herpotricha,NULL,Plant Pathogen,Pathotroph,Probable,1
Ophiosphaerella korrae,NULL,Plant Pathogen,Pathotroph,Probable,1
Ophiosphaerella narmari,NULL,Plant Pathogen,Pathotroph,Probable,1
Ophiostoma,Microfungus,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,17
Ophiostoma novo-ulmi,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Ophiostoma ulmi,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Orbilia,Microfungus,Animal Parasite-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,6
Ordospora,Microfungus,|Animal Parasite|,Pathotroph,Probable,2
Pachysolen,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,1
Paecilomyces,Microfungus,Clavicipitaceous |Endophyte|-Plant Pathogen-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,7
Paecilomyces fulvus,NULL,Plant Pathogen,Pathotroph,Probable,1
Paecilomyces variotii,NULL,Animal Pathogen,Pathotroph,Probable,1
Panaeolus,Agaricoid,|Dung Saprotroph|,Saprotroph,Probable,2
Pancytospora,Microfungus,|Animal Parasite|,Pathotroph,Probable,2
Panellus,Agaricoid,|Wood Saprotroph|,Saprotroph,Probable,1
Panus,Agaricoid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Papiliotrema,Dimorphic,|Fungal Parasite|,Pathotroph,Probable,5
Paracamarosporium,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,1
Paracoccidioides brasiliensis,NULL,Animal Pathogen,Pathotroph,Probable,1
Paracoccidioides lutzii,NULL,Animal Pathogen,Pathotroph,Probable,1
Paraconiothyrium,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,2
Paradendryphiella,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,1
Parafenestella,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Paraglomus,Microfungus,|Arbuscular Mycorrhizal|-Endophyte,Symbiotroph,Highly Probable,1
Paraglomus occultum,NULL,Arbuscular Mycorrhizal,Symbiotroph,Probable,1
Paramicrosporidium,Microfungus,|Protist Parasite|,Pathotroph,Probable,1
Paramyrothecium,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,3
Paraphaeosphaeria,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,2
Paraphoma,Microfungus,|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Paraphoma chrysanthemicola,Microfungus,Plant Pathogen,Pathotroph,Highly Probable,1
Paraphysoderma,Chytrid-Microfungus,|Algal Parasite|-Plant Pathogen,Pathotroph,Probable,1
Parascedosporium,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Parasitella,Microfungus,|Fungal Parasite|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Parastagonospora,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,2
Parengyodontium,Microfungus,|Animal Parasite|-Plant Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Parmelia,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Pascua,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,7
Passalora,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Patellaria,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Paxillus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,2
Paxillus involutus,Agaricoid,Ectomycorrhizal,Symbiotroph,Highly Probable,1
Pecoramyces,Chytrid-Microfungus,|Animal Symbiotroph|-Plant Saprotroph,Saprotroph-Symbiotroph,Probable,1
Peltaster fructicola,NULL,Plant Pathogen,Pathotroph,Probable,1
Peltigera,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Peltula,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Penicilliopsis,Microfungus,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Penicillium,Microfungus,Animal Parasite-Dung Saprotroph-Endophyte-Fungal Parasite-Plant Pathogen-|Undefined Saprotroph|-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Highly Probable,146
Penicillium aurantiogriseum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Penicillium brasilianum,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Penicillium brevicompactum,Microfungus,Endophyte,Symbiotroph,Probable,1
Penicillium canescens,Microfungus,Endophyte,Symbiotroph,Highly Probable,1
Penicillium chrysogenum,Facultative Yeast,Plant Pathogen,Pathotroph,Probable,1
Penicillium citrinum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Penicillium coprophilum,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Penicillium crustosum,Microfungus,Endophyte,Symbiotroph,Probable,1
Penicillium decumbens,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Penicillium digitatum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Penicillium expansum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Penicillium frequentans,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Penicillium glabrum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Penicillium goetzii,Microfungus,Endophyte,Symbiotroph,Probable,1
Penicillium griseofulvum,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Penicillium italicum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Penicillium oxalicum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Penicillium palitans,Microfungus,Wood Saprotroph,Saprotroph,Highly Probable,1
Penicillium simplicissimum,Microfungus,Wood Saprotroph,Saprotroph,Highly Probable,1
Penicillium verrucosum,Microfungus,Animal Pathogen,Pathotroph,Probable,1
Peniophora,Corticioid,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,3
Periconia,Microfungus,Endophyte-|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,2
Periconia digitata,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Periconia macrospinosa,Microfungus,Endophyte,Symbiotroph,Highly Probable,1
Periglandula,Microfungus,Clavicipitaceous |Endophyte|-Plant Saprotroph,Saprotroph-Symbiotroph,Highly Probable,1
Pestalotiopsis,Microfungus,|Plant Pathogen|,Pathotroph,Probable,10
Peterozyma,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,2
Pezicula,Microfungus,|Endophyte|-Plant Pathogen-Plant Saprotroph-Undefined Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,4
Peziza,Microfungus-Pezizoid,Dung Saprotroph-Ectomycorrhizal-Endophyte-Plant Saprotroph-|Undefined Saprotroph|,Saprotroph-Symbiotroph,Possible,1
Phaeoacremonium,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Phaeolepiota,Agaricoid,|Undefined Saprotroph|,Saprotroph,Probable,1
Phaeomoniella,Dimorphic-Microfungus; Facultative Yeast (Tedersoo et al. 2014),|Plant Pathogen|,Pathotroph,Highly Probable,1
Phaeophleospora,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Phaeosphaeria,Microfungus,Endophyte-Plant Pathogen-|Plant Saprotroph|,Pathotroph-Saprotroph-Symbiotroph,Probable,3
Phaeosphaeriaceae,Microfungus,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Pathotroph-Saprotroph,Probable,2
Phaeotremella,Dimorphic-Tremelloid,|Fungal Parasite|,Pathotroph,Probable,3
Phaffia,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,3
Phaffomyces,Yeast,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,5
Phakopsora pachyrhizi,NULL,Plant Pathogen,Pathotroph,Probable,1
Phallus impudicus,Phalloid,Litter Saprotroph-Soil Saprotroph-Wood Saprotroph,Saprotroph,Probable,1
Phanerochaete,Corticioid,|Wood Saprotroph|,Saprotroph,Highly Probable,2
Phanerodontia,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Phascolomyces,Microfungus,Dung Saprotroph-|Undefined Saprotroph|,Saprotroph,Probable,1
Phellinidium,Corticioid,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Phellinus,Polyporoid,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Highly Probable,1
Phellopilus,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Phenoliferia,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,2
Phialemonium,Microfungus,|Animal Parasite|-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Phialemonium atrogriseum,NULL,Animal Pathogen,Pathotroph,Probable,1
Phialocephala,Microfungus,Endophyte-|Undefined Saprotroph|,Saprotroph-Symbiotroph,Highly Probable,2
Phialophora,Dimorphic-Facultative Yeast-Microfungus,Animal Pathogen-Endophyte-Ericoid Mycorrhizal-Plant Pathogen-|Plant Saprotroph|-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,5
Phialophora americana,Facultative Yeast-Microfungus,Animal Pathogen,Pathotroph,Probable,1
Phialophora verrucosa,Microfungus,Endophyte,Symbiotroph,Highly Probable,1
Phlebia,Corticioid,|Wood Saprotroph|,Saprotroph,Highly Probable,2
Phlebiopsis,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,2
Phlebopus,Microfungus,Animal Associated Biotroph-Root Associate Biotroph,Saprotroph-Symbiotroph,Highly Probable,3
Phlegmacium,Agaricoid,Ectomycorrhizal,Symbiotroph,Probable,1
Phlyctochytrium,Chytrid-Microfungus,|Algal Parasite|-Fungal Parasite-Plant Pathogen-Plant Saprotroph-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,3
Pholiota,Agaricoid,Plant Pathogen-Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,4
Phoma,Microfungus,Dung Saprotroph-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Possible,4
Phoma herbarum,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Phycomyces,Microfungus,|Dung Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Phycomyces blakesleeanus,NULL,Dung Saprotroph-Undefined Saprotroph,Saprotroph,Highly Probable,1
Phyllachora maydis,NULL,Plant Pathogen,Pathotroph,Probable,1
Phyllactinia,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Phylliscum demangeonii,Microfungus,Lichen Parasite,Pathotroph,Highly Probable,1
Phylloboletellus,Agaricoid-Microfungus,Animal Symbiotroph-|Ectomycorrhizal|-Root Associate Biotroph,Symbiotroph,Highly Probable,1
Phylloporus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,9
Phyllosticta,Microfungus,Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Highly Probable,4
Phyllosticta ampelicida,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Phyllosticta capitalensis,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Possible,1
Phyllosticta citricarpa,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Phymatotrichopsis omnivora,Corticioid,Plant Pathogen,Pathotroph,Probable,1
Physcia,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Physisporinus,Corticioid,|Wood Saprotroph|,Saprotroph,Highly Probable,1
Physocladia,Chytrid-Microfungus,Algal Saprotroph-Plant Pathogen-|Plant Saprotroph|,Pathotroph-Saprotroph,Probable,1
Piccolia,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Pichia,Yeast,Animal Parasite-Animal Pathogen-Animal Symbiotroph-Plant Pathogen-|Undefined Saprotroph|,Pathotroph-Saprotroph-Symbiotroph,Probable,37
Pichia cactophila,NULL,Animal Pathogen,Pathotroph,Probable,1
Pichia fermentans,NULL,Animal Pathogen,Pathotroph,Probable,1
Pichia kluyveri,NULL,Animal Pathogen,Pathotroph,Probable,1
Pichia kudriavzevii,NULL,Animal Pathogen,Pathotroph,Probable,1
Pichia membranifaciens,Yeast,Epiphyte-Plant Pathogen,Pathotroph-Symbiotroph,Probable,1
Pichia norvegensis,NULL,Animal Pathogen,Pathotroph,Probable,1
Pichia occidentalis,NULL,Animal Pathogen,Pathotroph,Probable,1
Pichia terricola,NULL,Animal Pathogen,Pathotroph,Probable,1
Piedraia,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Pilaira,Microfungus,Dung Saprotroph-|Undefined Saprotroph|,Saprotroph,Highly Probable,1
Pilatotrama,Polyporoid,|Wood Saprotroph|,Saprotroph,Probable,1
Pilobolus,Microfungus,|Dung Saprotroph|,Saprotroph,Highly Probable,1
Piloderma,Corticioid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Piptocephalis,Microfungus,|Fungal Parasite|,Pathotroph,Probable,2
Piromyces,Chytrid-Microfungus,|Animal Symbiotroph|-Plant Saprotroph,Saprotroph-Symbiotroph,Probable,3
Piskurozyma,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,1
Pisolithus,Gasteroid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,8
Platismatia,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Plectosphaerella,Microfungus,Endophyte-|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph-Symbiotroph,Probable,2
Plectosphaerella cucumerina,Microfungus,Endophyte-Plant Pathogen,Pathotroph-Symbiotroph,Probable,1
Plenodomus,Microfungus,|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,5
Pleochaeta,Microfungus,|Plant Pathogen|,Pathotroph,Probable,1
Pleomassaria,Microfungus,Plant Saprotroph-Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Pleopsidium,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Pleurostoma,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Pleurotus,Agaricoid,Endophyte-Nematophagous-Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,14
Pleurotus ostreatus,Agaricoid,Endophyte-Plant Pathogen-Wood Saprotroph,Pathotroph-Saprotroph,Probable,1
Plicaturopsis,Corticioid-Polyporoid,|Wood Saprotroph|,Saprotroph,Probable,1
Pluteus cervinus,Agaricoid,Leaf Saprotroph-Wood Saprotroph,Saprotroph,Probable,1
Pneumocystis,Yeast,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Highly Probable,5
Pneumocystis carinii,NULL,Animal Pathogen,Pathotroph,Highly Probable,1
Pneumocystis jirovecii,NULL,Animal Pathogen,Pathotroph,Highly Probable,1
Pochonia,Microfungus,|Animal Parasite|-Animal Pathogen-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Podaxis,Gasteroid-Secotioid,|Undefined Saprotroph|,Saprotroph,Probable,10
Podochytrium,Chytrid-Microfungus,|Algal Parasite|-Plant Pathogen-Plant Saprotroph-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Podosphaera,Microfungus,|Plant Pathogen|,Pathotroph,Probable,2
Podosphaera leucotricha,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Podosphaera xanthii,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Podospora,Microfungus,|Dung Saprotroph|-Endophyte-Plant Saprotroph-Undefined Saprotroph,Saprotroph-Symbiotroph,Possible,8
Podospora anserina,Microfungus,Dung Saprotroph-Undefined Saprotroph,Saprotroph,Highly Probable,1
Podospora appendiculata,Microfungus,Dung Saprotroph,Saprotroph,Highly Probable,1
Podospora fimiseda,Microfungus,Dung Saprotroph,Saprotroph,Highly Probable,1
Polychaeton,Microfungus,|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,1
Polychytrium aggregatum,NULL,Undefined Saprotroph,Saprotroph,Probable,1
Polyplosphaeria,Microfungus,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,1
Polyporus,Polyporoid,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Highly Probable,2
Polytolypa hystricis,NULL,Dung Saprotroph,Saprotroph,Highly Probable,1
Porodaedalea,Polyporoid,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Porogramme,Corticioid,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Poronia punctata,NULL,Dung Saprotroph,Saprotroph,Highly Probable,1
Porphyrellus,Agaricoid-Boletoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,2
Porpolomopsis,Agaricoid,|Undefined Saprotroph|-Undefined Symbiotroph,Saprotroph-Symbiotroph,Highly Probable,1
Postia,Polyporoid,|Wood Saprotroph|,Saprotroph,Highly Probable,1
Powellomyces,Chytrid-Microfungus,Algal Parasite-Plant Pathogen-|Pollen Saprotroph|,Pathotroph-Saprotroph,Probable,1
Preussia,Microfungus,|Dung Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,2
Priceomyces,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,3
Priceomyces carsonii,NULL,Animal Pathogen,Pathotroph,Probable,1
Priceomyces castillae,NULL,Animal Pathogen,Pathotroph,Probable,1
Priceomyces haplophilus,NULL,Animal Pathogen,Pathotroph,Probable,1
Prillingera,Yeast,Epiphyte-|Undefined Saprotroph|,Saprotroph-Symbiotroph,Probable,1
Proliferodiscus,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Protomyces,Dimorphic,|Plant Pathogen|,Pathotroph,Probable,6
Protomyces inouyei,NULL,Plant Pathogen,Pathotroph,Probable,1
Pseudevernia,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Pseudoaustroboletus,Agaricoid,|Ectomycorrhizal|,Symbiotroph,Probable,1
Pseudocercospora,Microfungus,|Plant Pathogen|,Pathotroph,Probable,6
Pseudocercospora cruenta,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Pseudocercospora fuligena,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Pseudocercospora musae,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Pseudocercospora vitis,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Pseudocyphellaria,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Pseudofabraea,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,1
Pseudogymnoascus,Microfungus,Animal Pathogen-|Undefined Saprotroph|,Pathotroph-Saprotroph-Symbiotroph,Possible,25
Pseudogymnoascus destructans,NULL,Animal Pathogen,Pathotroph,Highly Probable,1
Pseudohalonectria,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,1
Pseudohyphozyma,Yeast,|Undefined Saprotroph|,Saprotroph,Probable,1
Pseudoloma,Microfungus,|Animal Parasite|,Pathotroph,Probable,1
Pseudomassariella,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Pseudomicrostroma,Dimorphic,Epiphyte-|Plant Pathogen|,Pathotroph-Symbiotroph,Probable,2
Pseudomonodictys,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,1
Pseudonectria,Microfungus,Undefined Saprotroph-|Wood Saprotroph|,Saprotroph,Probable,2
Pseudoneurospora,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,1
Pseudopestalotiopsis,Microfungus,|Plant Pathogen|,Pathotroph,Probable,2
Pseudophaeomoniella,Dimorphic,|Plant Pathogen|,Pathotroph,Probable,1
Pseudopithomyces,Microfungus,|Plant Pathogen|-Plant Saprotroph,Pathotroph-Saprotroph,Probable,2
Pseudopyrenochaeta,Microfungus,|Undefined Saprotroph|,Saprotroph,Probable,2
Pseudopyricularia,Microfungus,|Plant Pathogen|,Pathotroph,Probable,2
Pseudotulostoma,Gasteroid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Pseudovirgaria,Microfungus,|Fungal Parasite|,Pathotroph,Probable,1
Pseudozyma,Yeast,Endophyte-|Epiphyte|-Fungal Parasite,Pathotroph-Symbiotroph,Probable,6
Pseudozyma hubeiensis,NULL,Animal Pathogen,Pathotroph,Probable,1
Psilocybe,Agaricoid,|Plant Saprotroph|-Undefined Saprotroph,Saprotroph,Probable,12
Psilocybe subaeruginosa,Agaricoid,Leaf Saprotroph,Saprotroph,Probable,1
Pterula,Clavarioid,|Plant Saprotroph|-Undefined Saprotroph-Wood Saprotroph,Saprotroph,Probable,2
Ptychographa,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Puccinia,Rust,|Plant Pathogen|,Pathotroph,Highly Probable,1
Puccinia brachypodii,Rust,Plant Pathogen,Pathotroph,Highly Probable,1
Puccinia coronata,Rust,Plant Pathogen,Pathotroph,Highly Probable,1
Puccinia graminis,Rust,Plant Pathogen,Pathotroph,Highly Probable,1
Puccinia hordei,Rust,Plant Pathogen,Pathotroph,Highly Probable,1
Puccinia horiana,Rust,Plant Pathogen,Pathotroph,Highly Probable,1
Puccinia polysora,Rust,Plant Pathogen,Pathotroph,Highly Probable,1
Puccinia sorghi,Rust,Plant Pathogen,Pathotroph,Highly Probable,1
Puccinia striiformis,Rust,Plant Pathogen,Pathotroph,Highly Probable,1
Puccinia triticina,Rust,Plant Pathogen,Pathotroph,Highly Probable,1
Pulchroboletus,Agaricoid-Boletoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,1
Pulveroboletus,Agaricoid-Boletoid,|Ectomycorrhizal|,Symbiotroph,Highly Probable,10
Punctularia,Corticioid,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Purpureocillium,Microfungus,|Animal Parasite|-Fungal Parasite-Undefined Saprotroph,Pathotroph-Saprotroph,Probable,3
Puttea,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Pycnora,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Pyrenochaeta,Microfungus,Plant Pathogen-Undefined Saprotroph-|Wood Saprotroph|,Pathotroph-Saprotroph,Highly Probable,3
Pyrenophora,Microfungus,|Plant Pathogen|-Wood Saprotroph,Pathotroph-Saprotroph,Probable,2
Pyrenophora teres,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Pyrenophora tritici-repentis,Microfungus,Plant Pathogen,Pathotroph,Probable,1
Pyrenopolyporus,Microfungus,|Wood Saprotroph|,Saprotroph,Probable,1
Pyrenula,Microfungus-Thallus,|Lichenized|,Symbiotroph,Highly Probable,2
Pyricularia,Microfungus,|Plant Pathogen|,Pathotroph,Probable,5
Pyricularia grisea,NULL,Plant Pathogen,Pathotroph,Probable,1
Pyricularia oryzae,NULL,Plant Pathogen,Pathotroph,Probable,1
Pyronema,Microfungus,Endophyte-Plant Saprotroph-|Undefined Saprotroph|,Saprotroph-Symbiotroph,Probable,1
Pyronema domesticum,NULL,Undefined Saprotroph,Saprotroph,Probable,1
Pyrrhoderma,Corticioid-Polyporoid,Plant Pathogen-|Wood Saprotroph|,Pathotroph-Saprotroph,Probable,1
Quaeritorhiza,NULL,|Algal Parasite|,Pathotroph,Probable,1
Quambalaria,Smut,|Plant Pathogen|,Pathotroph,Probable,1
Rachicladosporium,Microfungus,|Plant Saprotroph|,Saprotroph,Probable,2
Racocetra,Microfungus,|Arbuscular Mycorrhizal|-Endophyte,Symbiotroph,Highly Probable,2
Racodium,Thallus,|Lichenized|,Symbiotroph,Highly Probable,1
Radiomyces,Microfungus,Dung Saprotroph-|Undefined Saprotroph|,Saprotroph,Probable,1
Raffaelea,Microfungus,|Plant Pathogen|-Undefined Saprotroph-Wood Saprotroph,Pathotroph-Saprotroph,Probable,5
Ramalina,Thallus,|Lichenized|,Symbiotroph,Highly Probable,3
Ramaria,Clavarioid,|Ectomycorrhizal|-Plant Saprotroph,Saprotroph-Symbiotroph,Possible,2
Ramaria rubella,Clavarioid,Ectomycorrhizal,Symbiotroph,Probable,1
