Species,trait,value,source,notes
Fusarium graminearum,fungal_association,mycoparasite,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-Lichen Parasite-|Plant Pathogen|-Plant Saprotroph-Undefined Saprotroph-Wood Saprotroph""); lichen parasite mapped to mycoparasite (lichen fungal partner is the host)"
Neurospora crassa,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Neurospora crassa,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Zymoseptoria tritici,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Zymoseptoria tritici,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Zymoseptoria tritici,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Zymoseptoria tritici,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Plant Saprotroph"")"
Zymoseptoria tritici,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|-Plant Saprotroph"")"
Schizosaccharomyces pombe,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Yeast"")"
Schizosaccharomyces pombe,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Saprotroph"")"
Cryptococcus neoformans,cell_morphology,dimorphic,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Dimorphic Yeast-Yeast"")"
Cryptococcus neoformans,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Cryptococcus neoformans,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Cryptococcus neoformans,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Cryptococcus neoformans,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-Epiphyte-|Undefined Saprotroph|"")"
Cryptococcus neoformans,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-Epiphyte-|Undefined Saprotroph|"")"
Coprinopsis cinerea,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Agaricoid"")"
Coprinopsis cinerea,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Agaricus bisporus,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Agaricoid-Gasteroid-Secotioid"")"
Agaricus bisporus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Ustilago maydis,cell_morphology,dimorphic,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Dimorphic-Facultative Yeast-Smut"")"
Ustilago maydis,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph"")"
Ustilago maydis,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|"")"
Rhodotorula mucilaginosa,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Rhodotorula mucilaginosa,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Rhodotorula mucilaginosa,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Rhodotorula mucilaginosa,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Rhodotorula mucilaginosa,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Animal Symbiotroph-Endophyte-Plant Pathogen-|Undefined Saprotroph|"")"
Rhodotorula mucilaginosa,animal_association,commensal,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Animal Symbiotroph-Endophyte-Plant Pathogen-|Undefined Saprotroph|""); Symbiotroph mapped conservatively to commensal"
Rhodotorula mucilaginosa,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Animal Symbiotroph-Endophyte-Plant Pathogen-|Undefined Saprotroph|"")"
Rhodotorula mucilaginosa,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Animal Symbiotroph-Endophyte-Plant Pathogen-|Undefined Saprotroph|"")"
Hortaea werneckii,cell_morphology,dimorphic,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Facultative Yeast"")"
Hortaea werneckii,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph"")"
Hortaea werneckii,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Parasite|-Plant Pathogen"")"
Hortaea werneckii,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Parasite|-Plant Pathogen"")"
Saccharomyces cerevisiae,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Saccharomyces cerevisiae,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Kluyveromyces marxianus,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Yeast"")"
Kluyveromyces marxianus,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Kluyveromyces marxianus,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Kluyveromyces marxianus,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-|Undefined Saprotroph|"")"
Debaryomyces hansenii,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Yeast"")"
Debaryomyces hansenii,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Saprotroph"")"
Yarrowia lipolytica,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (growthForm ""Yeast"")"
Yarrowia lipolytica,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Highly Probable,"genus-level call (trophicMode ""Saprotroph"")"
Candida albicans,cell_morphology,dimorphic,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Dimorphic Yeast-Yeast"")"
Candida albicans,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Candida albicans,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Candida albicans,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Candida albicans,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-|Undefined Saprotroph|"")"
Candida albicans,animal_association,commensal,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-|Undefined Saprotroph|""); Endosymbiont mapped conservatively to commensal"
Candida albicans,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-|Undefined Saprotroph|"")"
Candida auris,cell_morphology,dimorphic,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Dimorphic Yeast-Yeast"")"
Candida auris,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Candida auris,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Candida auris,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"")"
Candida auris,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-|Undefined Saprotroph|"")"
Candida auris,animal_association,commensal,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-|Undefined Saprotroph|""); Endosymbiont mapped conservatively to commensal"
Candida auris,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-|Undefined Saprotroph|"")"
Aaosphaeria arxii,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Aaosphaeria arxii,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Akanthomyces muscarius,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Akanthomyces muscarius,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Akanthomyces muscarius,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Akanthomyces muscarius,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Animal Parasite|-Animal Pathogen-Undefined Saprotroph"")"
Alternaria alternata,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Microfungus"") -- CAUTION: Alternaria is trophically/ecologically diverse across species; this genus-level composite call may not reflect Alternaria alternata specifically, verify before relying on it"
Alternaria alternata,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- CAUTION: Alternaria is trophically/ecologically diverse across species; this genus-level composite call may not reflect Alternaria alternata specifically, verify before relying on it"
Alternaria alternata,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- CAUTION: Alternaria is trophically/ecologically diverse across species; this genus-level composite call may not reflect Alternaria alternata specifically, verify before relying on it"
Alternaria alternata,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Pathotroph-Saprotroph-Symbiotroph"") -- CAUTION: Alternaria is trophically/ecologically diverse across species; this genus-level composite call may not reflect Alternaria alternata specifically, verify before relying on it"
Alternaria alternata,animal_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph"") -- CAUTION: Alternaria is trophically/ecologically diverse across species; this genus-level composite call may not reflect Alternaria alternata specifically, verify before relying on it"
Alternaria alternata,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph"") -- CAUTION: Alternaria is trophically/ecologically diverse across species; this genus-level composite call may not reflect Alternaria alternata specifically, verify before relying on it"
Alternaria alternata,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph"") -- CAUTION: Alternaria is trophically/ecologically diverse across species; this genus-level composite call may not reflect Alternaria alternata specifically, verify before relying on it"
Alternaria alternata,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (guild ""Animal Pathogen-Endophyte-|Plant Pathogen|-Plant Saprotroph-Wood Saprotroph"") -- CAUTION: Alternaria is trophically/ecologically diverse across species; this genus-level composite call may not reflect Alternaria alternata specifically, verify before relying on it"
Amorphotheca resinae,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Amorphotheca resinae,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph"")"
Annulohypoxylon maeteangense,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Annulohypoxylon maeteangense,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Annulohypoxylon maeteangense,trophic_mode,symbiotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Saprotroph-Symbiotroph"")"
Annulohypoxylon maeteangense,plant_association,saprotroph_plant_material,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Undefined Saprotroph-|Wood Saprotroph|"")"
Annulohypoxylon maeteangense,plant_association,endophyte,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""Endophyte-Undefined Saprotroph-|Wood Saprotroph|"")"
Apiospora aurea,cell_morphology,filamentous,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (growthForm ""Microfungus"")"
Apiospora aurea,trophic_mode,pathotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Apiospora aurea,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (trophicMode ""Pathotroph-Saprotroph"")"
Apiospora aurea,plant_association,pathogen,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Probable,"genus-level call (guild ""|Plant Pathogen|"")"
Apiotrichum porosum,cell_morphology,yeast,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (growthForm ""Microfungus-Yeast"")"
Apiotrichum porosum,trophic_mode,saprotroph,FUNGuild (Fungi_5k functionalDB) confidenceRanking=Possible,"genus-level call (trophicMode ""Saprotroph"")"
